201,3514 0,1262853
205,9029 0,1357636
210,4579 0,1464281
215,0094 0,1559065
219,5643 0,1665710
224,1279 0,1802007
228,7010 0,1970921
233,2725 0,2134499
237,8644 0,2368055
242,4358 0,2531039
246,9985 0,2664371
251,5292 0,2687990
256,0306 0,2610790
260,5182 0,2486146
264,9980 0,2334816
269,4856 0,2210173
273,9965 0,2165590
278,5393 0,2230722
282,7248 0,2363321
288,0713 0,2598936
292,2769 0,2800329
296,8627 0,3013129
301,4116 0,3099017
305,9286 0,3075191
310,4308 0,3000957
314,9271 0,2905966
319,4224 0,2808010
323,9342 0,2766393
328,4692 0,2804837
333,0251 0,2914447
337,5809 0,3024057
342,1367 0,3133667
346,6821 0,3207694
351,1965 0,3174973
355,6754 0,3020677
359,7670 0,2830807
361,9764 0,2650618
365,7023 0,2499304
367,5516 0,2376945
372,0357 0,2240441
376,5311 0,2142485
381,0540 0,2139416
385,5909 0,2183791
390,1354 0,2254853
394,6843 0,2340741
399,2220 0,2388081
403,7528 0,2411699
408,2697 0,2387873
412,7884 0,2369978
417,3053 0,2346153
421,8205 0,2316397
426,3349 0,2283676
430,8466 0,2242059
435,3549 0,2188581
439,8650 0,2141034
444,3802 0,2111278
448,9032 0,2108209
453,4288 0,2114036
457,9638 0,2152480
462,5050 0,2211681
467,0461 0,2270882
471,5907 0,2341944
476,1413 0,2433763
480,6971 0,2543373
485,2572 0,2667809
489,8139 0,2780384
494,3775 0,2916681
499,3120 0,3032213
503,5038 0,3186310
508,0639 0,3310746
512,6240 0,3435182
517,1867 0,3568514
521,7486 0,3698881
526,3070 0,3817386
530,8628 0,3926996
535,4134 0,4018815
539,9632 0,4107668
544,5086 0,4181695
549,0592 0,4273514
553,6116 0,4371263
558,1639 0,4469012
562,7163 0,4566761
567,2652 0,4652649
571,8124 0,4732607
576,3595 0,4812564
580,8989 0,4865835
585,4323 0,4898349
589,9648 0,4927898
594,4981 0,4960411
599,0272 0,4978099
603,5596 0,5007648
608,0895 0,5028301
612,6229 0,5060815
617,1545 0,5087398
621,6870 0,5116947
626,2195 0,5146496
630,7520 0,5176044
635,2845 0,5205593
639,8152 0,5229211
644,3469 0,5255795
648,8785 0,5282378
653,4110 0,5311927
657,9426 0,5338510
662,4751 0,5368059
667,0050 0,5388712
671,5375 0,5418261
676,0691 0,5444844
680,6016 0,5474393
685,1349 0,5506907
689,6657 0,5530525
694,1982 0,5560074
698,7289 0,5583692
703,2588 0,5604345
707,7887 0,5624998
712,3178 0,5642686
716,8468 0,5660373
721,3758 0,5678061
725,9040 0,5692784
730,4339 0,5713437
734,9647 0,5737055
739,4945 0,5757708
744,0244 0,5778361
748,5500 0,5784188
753,0791 0,5801875
757,6029 0,5801772
762,1268 0,5801668
766,6454 0,5783773
771,1650 0,5768843
775,6828 0,5747983
780,1988 0,5721192
784,7123 0,5685506
789,2215 0,5634993
793,7333 0,5593376
798,2416 0,5539899
802,7438 0,5465664
807,2452 0,5388464
811,7458 0,5308299
816,2454 0,5225169
820,7408 0,5127213
825,2344 0,5023326
829,7289 0,4922405
834,2225 0,4818518
838,7179 0,4720562
843,2080 0,4604814
847,6991 0,4492031
852,1918 0,4385179
856,6880 0,4290188
861,1834 0,4192232
865,6787 0,4094276
870,1784 0,4011145
874,6772 0,3925050
879,1743 0,3833024
883,6705 0,3738033
888,1702 0,3654903
892,6698 0,3571773
897,1660 0,3476782
901,6571 0,3363999
906,1447 0,3239356
910,6279 0,3099886
915,1164 0,2978208
919,6057 0,2859495
924,0906 0,2725956
928,5800 0,2607243
933,0719 0,2497426
937,5646 0,2390574
942,0574 0,2283722
946,5519 0,2182800
951,0463 0,2081879
955,5434 0,1989853
960,0405 0,1897827
964,5376 0,1805801
969,0355 0,1716741
973,5335 0,1627680
978,0314 0,1538619
982,5345 0,1467350
987,0359 0,1390150
991,5390 0,1318881
996,0439 0,1253542
1000,548 0,1185238
1005,052 0,1116934
1009,552 0,1036769
1014,057 0,09714307
1018,560 0,08971963
1023,062 0,08229618
1027,564 0,07487273
1032,068 0,06804233
1036,571 0,06091541
1041,073 0,05349197
1045,575 0,04577200
1050,079 0,03894160
1054,584 0,03270425
1059,093 0,02735646
1063,604 0,02289825
1068,109 0,01666090
1072,618 0,01131311
1075,628 0,009230542

